Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
SMARCD2 deficiency	SMARCD2	AR		601736				Low		"Neutropenia, developmental aberrations, skeletal abnormalities, hematopoietic stem cells, myelodysplasia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
SNORA31 deficiency	SNORA31	AD				Normal 	Normal	Normal		Forebrain HSE	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
SNX10 deficiency associated osteopetrosis	SNX10	AR		  614780					Osteoclasts	Osteopetrosis with visual impairment	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
SOCS1 deficiency	SOCS1	AD 	Haplosufficiency		Low CD4/CD8	Normal B cell numbers but low memory	Low immunogobulins			"Multisystem autoimmunity, SLE features, psoriasis, MIS-C with COVID, type I IFN signature"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Hepatic veno-occlusive disease with immunodeficiency (VODI)	SP110	AR		604457	Normal (decreased memory T cells)	Normal (decreased memory B cells)	Low			"Hepatic veno-occlusive disease,  Susceptibility to Pneumocystis jirovecii pneumonia, CMV, candida, thrombocytopenia, hepatosplenomegaly, cerebrospinal leukodystrophy"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0002415		
Pu.1 deficiency	SPI1	AD			"Normal numbers of T and NK cells, increased % CD8s"	Decreased B. B cell development arrested at pro to pre–B stage	Undetectable		Decreased DC	Sinopulmonary infections with encapsulated bacteria. Viral infections in some patients incl paralysis in 1 following live polio vaccine 	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
Comel-Netherton syndrome	SPINK5 	AR		605010	Normal	Low Switched and non-switched B cells 	High IgE and IgA	Normal		"Congenital ichthyosis, bamboo hair, atopic diathesis, increased bacterial infections, failure to thrive"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
SPPL2a deficiency	SPPL2A	AR			Poor Th1				CDC	"Susceptibility to mycobacteria, Salmonella, "	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
SRP19 deficiency	SRP19	AR						Low	Reduction in electron dense granules in PMN	"Exocrine pancreatic insifficiency, poor growth, recurrent infections"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
SRP54 deficiency	SRP54	AD						Low		Schwachman Diamond features	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
BMFS1 (SRP72-deficiency)	SRP72	AD		602122					Hematopoietic stem cell	Bone marrow failure and congenital nerve deafness	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
SRPRA deficiency	SRPRA	AR							Reduction in electron dense granules in PMN	"Exocrine pancreatic insifficiency, poor growth, recurrent infections"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
STAT1 deficiency (AR LOF)	STAT1	AR		600555					T and NK cells and monocytes	"Severe viral infections, mycobacterial infection"	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
STAT1 GOF	STAT1	AD 	GOF	600555	Variable	Variable	Variable	Normal	"T cells, B cells, monocytes"	"CMC, various fungal, bacterial and viral (HSV) infections, auto-immunity (thyroiditis, diabetes, cytopenias), enteropathy"	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
STAT1 deficiency (AD LOF)	STAT1 	AD 		600555	Normal 	Normal	Normal	Normal		"Susceptibility to mycobacteria, Salmonella, "	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
STAT2 deficiency	STAT2	AR		600556					T and NK cells	Severe viral infections (disseminated vaccine-strain measles)	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
STAT2 GOF	STAT2	AR	GOF 		Variable		Low to normal		Variable NK counts	"Severe fatal early onset autoinflammation (skin ulceration, fever, seizures, intracranial calcification, multiorgan dysfunction, abnormal neurodevelopment; phenocopy of USP18 deficiency).   "	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
AD-HIES  Job syndrome	STAT3	AD 	"LOF, DN"	102582	"Normal overall, Th-17 and T-follicular helper cells decreased"	"Normal,  reduced switched and non-switched memory B cells, BAFF expression increased"	High IgE	Normal		"Distinctive facial features (broad nasal bridge), bacterial infections (boils and pulmonary abscesses, pneumatoceles) due to S. aureus, pulmonary aspergillus, Pneumocystis jirovecii, eczema, mucocutaneous candidiasis, hyperextensible joints, osteoporosis and bone fractures, scoliosis, retention of primary teeth,  coronary and cerebral aneurysm formation"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
STAT3 GOF mutation	STAT3	AD 	GOF	102582	Decreased	Decreased	Normal	Normal		"Lymphoproliferation, solid organ autoimmunity, recurrent infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
Pansclerotic morphea	STAT4	AD	GOF	620443	Low CD4 T cells					"Skin sclerosis, poor wound healing, mucosal ulcers"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
STAT5b deficiency	STAT5B 	AR		245590	Modestly decreased	Normal	Normal			"Growth-hormone insensitive dwarfism, dysmorphic features, eczema, lymphocytic interstitial pneumonitis, autoimmunity"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322		
STAT5b deficiency	STAT5B 	AD	DN	604260	Normal	Normal	Increased igE			"Growth-failure, eczema "	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0004322		
STAT6 disorder	STAT6	AD	GOF	620532	Normal with Th2 skew	Normal	High IgE		Eosinophilia	"Severe atopy, short stature"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
STIM1 deficiency	STIM1	AR		605921	"Normal, defective TCR mediated activation"	Normal	Normal 			"Autoimmunity, EDA, non-progressive myopathy"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	279.2	D81.9	HP:0002715	 HP:0003198		
STING-like disease	STING1	AR	GOF				Increased			"Failure to thrive; early onset rash, fever, dyspnea, interstitial lung disease/pneumonitis, polyarthritis, autoAbs, clubbing. Increased inflammatory markers, IFN gene signature. Phenocopy of SAVI due to AD GOF TMEM173 variants.  2 patients succumbed; 4 successfully treated with JAK inhibitors"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
"STING--associated vasculopathy, infantile-onset"	STING1	AD	GOF	612374						"Skin vasculopathy, inflammatory lung disease, systemic autoinflammation and ICC, FCL"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002715	HP:0002633		
MST1 deficiency	STK4 	AR		614868	"Low, low terminal differentiated  effector memory (TEMRA) cells, low naïve T cells, poor proliferation"	Low 				"Intermittent neutropenia, bacterial, viral (HPV), candidal infections, EBV lymphoproliferation, autoimmune cytopenias, lymphoma, congenital heart disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Coats plus syndrome due to STN1 deficiency	STN1	AR		613128	Variable	Variable				"Intrauterine growth retardation, premature aging, pancytopenia, hypocellular bone marrow, gastrointestinal hemorrhage due to vascular ectasia, intracranial calcification, abnormal telomeres"	Table 9 Bone marrow failure		279.2	D82.8	HP:0002721	HP:0005528	HP:0001511	
Syntaxin 11 deficiency (FHL4) 	STX11	AR		605014	Increased activated T cells	Normal	Normal 	Neutropenia with active HLH		"Fever, HSM, cHLH, cytopenias, "	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
STXBP2 / Munc18-2 deficiency (FHL5)	STXBP2	AR 		601717	Increased activated T cells	Normal	Normal 	Neutropenia with active HLH		"Fever, HSM, cHLH, cytopenias, enteropathy"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
STXBP2 / Munc18-2 deficiency (FHL5)	STXBP2	AD		601717	Increased activated T cells	Normal	Normal 	Neutropenia with active HLH		"Fever, HSM, cHLH, cytopenias, enteropathy"	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
SYK disease	SYK	AD	GOF				"Low IgG, IgM"			"Immune deficiency/recurrent infections, multi-organ inflammatory disease (colitis, arthritis, dermatitis), inflammation in multiple tissues (gut, skin, CNS, lung, liver). Diffuse large B cell lymphoma. High WBC counts, CRP"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
MHC class I deficiency 	TAP1	AR		170260	"Low CD8, Nl CD4, absent MHC I on lymphocytes"	Normal	Normal			"Vasculitis, pyoderma gangrenosum"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403		
MHC class I deficiency	TAP2  	AR		170261	"Low CD8, Nl CD4, absent MHC I on lymphocytes"	Normal	Normal			"Vasculitis, pyoderma gangrenosum"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403		
MHC class I deficiency 	TAPBP 	AR		601962	"Low CD8, Nl CD4, absent MHC I on lymphocytes"	Normal	Normal			"Vasculitis,pyoderma gangrenosum"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403		
"Barth Syndrome, (3-Methylglutaconic aciduria type II)"	TAZ	 XL		300394				Low		"Cardiomyopathy, myopathy, growth retardation"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
TBK1 deficiency	TBK1	AD		604834	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	Herpes simplex virus 1 encephalitis	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
TBK1 deficiency	TBK1	AR								"Autoinflammation, delayed development"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
TBX1 deficiency	TBX1	AD		602054	Decreased or normal	Normal	Normal or decreased	Normal		"Hypoparathyroidism, conotruncal cardiac malformation, velopalatal insufficiency, abnormal facies, intellectual disability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D82.1	HP:0002715	HP:0005403		
TBX21 deficiency	TBX21	AR			"Low MAIT, CXCR3 Th1 T cells"	Normal	Normal			Susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
E47 transcription factor deficiency	TCF3 	AD		147141		Very low	Very low			Recurrent bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
E47 transcription factor deficiency	TCF3 	AR				Very low	Very low			"Severe, recurrent bacterial infections, failure to thrive"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
TCIRG1 deficiency associated osteopetrosis	TCIRG1	AR		604592					Osteoclasts	Osteopetrosis with hypocalcemia	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
Transcobalamin 2 deficiency	TCN2	AR		613441	Normal 	Variable	Low	Variable		"Megaloblastic anemia, pancytopenia, if untreated for prolonged periods results in intellectual disability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 6 Defects of Vitamin B12 and Folate Metabolism	279.2	D81.9	HP:0002715	HP:0012335		
DKCA1	TERC	AD		127550	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
DKCA2	TERT	AD		187270	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
DKCB4	TERT	AR		613989	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
TET2 deficiency	TET2	AR			"High DN T cells, low TH1, Th17 and TFH"	Normal numbers of B cells with low memory	Variable		Poor fas-mediated apoptosis	"ALPS-like, viral ifnection, EBV+ lymphoma, FTT, developmenal delay, EBV viremia"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
TFRC deficiency	TFRC	AR		616740	"Nl number, poor proliferation"	"Nl number, low memory B cells"		Low		"Recurrent infections, thrombocytopenia"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
TGFB1 deficiency	TGFB1	AR		618213	Normal 	Normal 	Normal 	Normal		"IBD, immunodeficiency, recurrent viral infections, microcephaly, and encephalopathy"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
Loeys Dietz syndrome due to TGFBR1 deficiency	TGFBR1	AD		609192	Normal 	Normal	Increased IgE	Normal		"Recurrent respiratory infectons, eczema, food allergies, hyperextensible joints, scoliosis, retention of primary teeths, aortic anuerysms."	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
Loeys Dietz syndrome due to TGFBR2 deficiency	TGFBR2	AD		610168	Normal 	Normal	Increased IgE	Normal		"Recurrent respiratory infectons, eczema, food allergies, hyperextensible joints, scoliosis, retention of primary teeths, aortic anuerysms."	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
Thrombomodulin deficiency	THBD	AD		188040	Normal 	Normal	Normal	Normal		Atypical hemolytic-uremic syndrome	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
TRIF deficiency 	TICAM1	AD 		607601	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	Herpes simplex virus 1 encephalitis	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
TRIF deficiency 	TICAM1	AR		607601	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	Herpes simplex virus 1 encephalitis	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
DKCA3	TINF2	AD		604319	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
TIRAP deficiency	TIRAP	AR		614382	Normal 	Normal	Normal	Normal	Lymphocytes + Granulocytes+ Monocytes	Staphylococcal disease during childhood	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
TLR3 deficiency	TLR3	AD 		603029	Normal 	Normal	Normal	Normal	Central nervous system (CNS) resident cells and fibroblasts	Herpes simplex virus 1 encephalitis (incomplete clinical penetrance for all etiologies listed here)	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
TLR3 deficiency	TLR3	AR		603029	Normal 	Normal	Normal	Normal	Central nervous system (CNS) resident cells and fibroblasts	Herpes simplex virus 1 encephalitis (incomplete clinical penetrance for all etiologies listed here)	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
TLR4 deficiency	TLR4	AR								IBD	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency	279.9	D89.9	HP:0002715	HP:0002718		
TLR7 deficiency	TLR7	AD	GOF	301080	Normal	Normal				"Childhood onset SLE, other autoimmunity"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
TLR7 deficiency	TLR7	XL								COVID-19 susceptibility	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
TLR8 disease	TLR8	XL	GOF		Normal	Altered maturation	Normal to increased	Neutropenia	Low pDC	"Infections, lymphoproliferation, hepatosplenomegaly, lymphadenopathy.  Infectious susceptibility, BM failure. Severe chronic AIHA (post-infections), progressive autoinflammatory disease. Proin?ammatory phenotype with activated T cells, elevated serum cytokines associated with impaired B-cell maturation"	Table 6 Defects in intrinsic and innate immunity	Subtable 7 TLR Signaling Pathway Deficiency with Bacterial Susceptibility	279.9	D89.9	HP:0002715	HP:0002718		
EVER1 deficiency	TMC6	AR		605828					Keratinocytes and leukocytes	Human papillomavirus (HPV) (group B1) infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	279.9	D89.9	HP:0002715	HP:0020114		
EVER2 deficiency	TMC8	AR		605829					Keratinocytes and leukocytes	HPV (group B1) infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	279.9	D89.9	HP:0002715	HP:0020114		
A20 deficiency	TNFAIP3	AD 		616744					Lymphocytes	"Arthralgia, mucosal ulcers, ocular inflammation "	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0100533		
TNFRSF11A deficiency associated osteopetrosis	TNFRSF11A	AR		  603499					Osteoclasts	Osteopetrosis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
TACI deficiency	TNFRSF13B 	AD or AR 		604907			Normal to low			Variable clinical expression	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
BAFF receptor deficiency	TNFRSF13C 	AR		606269			Low			Variable clinical expression	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
TNF receptor-associated periodic syndrome (TRAPS)	TNFRSF1A 	AD		142680	Normal 	Normal	Normal	Normal	"PMNs, monocytes"	"Recurrent fever, serositis, rash, and ocular or joint inflammation"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0001954		
OX40 deficiency	TNFRSF4	AR		615593	"Nl numbers, low antigen specific memory CD4+"	"Nl numbers, low memory B cells"				"Impaired immunity to HHV8, Kaposi’s sarcoma"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
ALPS-FAS	TNFRSF6 	AD 		134637	Increased CD4-CD8-TCR a/b?double negative (DN) T cells	"Normal, low memory B cells"	Normal	Normal		"Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
ALPS-FAS	TNFRSF6 	AR		134637	Increased CD4-CD8-TCR a/b?double negative (DN) T cells	"Normal, low memory B cells"	Normal	Normal		"Splenomegaly, adenopathies, autoimmune cytopenias, increased lymphoma risk, IgG and A normal or increased, elevated serum FasL and IL-10, vitamin B12"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
CD137 deficiency (41BB)	TNFRSF9	AR		602250	Normal 	Normal 	Low	Normal		"EBV lymphoproliferation, B-cell lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
TNFSF11 deficiency associated osteopetrosis	TNFSF11	AR		602642					Stromal	Osteopetrosis with severe growth retardation	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
TWEAK deficiency	TNFSF12	AD		602695			"Low IgM and A, lack of anti-pneumococcal  antibody"	Low		"Pneumonia, bacterial infections, warts, thrombocytopenia."	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
TNFSF13 (APRIL) deficiency	TNFSF13	AR			Normal	Normal B cell count with low memory B cells and plasmablasts	Low IgG			Mild infections	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
ALPS-FASLG	TNFSF6	 AR		134638	Increased DN T cells 	Normal	Normal	Normal		"Splenomegaly, adenopathies, autoimmune cytopenias, SLE, soluble FasL is not elevated"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
4-1 BBL deficiency	TNFSF9	AR		620282	Normal	Normal			Low CD137L after stimulation	EBV in B cellsa nd smooth muscle	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
Hoffman syndrome/TOP2B deficiency	TOP2B	AD		126431		Very low	Very low			"Recurrent infections, facial dysmorphism, limb anomalies"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
BMFS5	TP53	AD		618165	NA	Low			Hematopoietic stem cell	"Erythroid hypoplasia, B-cell deficiency"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Tripeptidyl-Peptidase II Deficiency	TPP2 	AR		190470	Decreased	Decreased 	High			"Variable lymphoproliferation, severe autoimmune cytopenias,  recurrent infections "	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
TCR? deficiency	TRAC 	AR		615387	"Absent TCR??, all T cells are ??, poor proliferation"	Normal				"Recurrent viral, bacterial, fungal infections, immune dysregulation and autoimmunity, diarrhea"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
TRAF3 haplosufficiency	TRAF3	AD		614849	Low	Low class switched B cells	High IgG			"ALPS-like, infections, various autoimmune and atopic features"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
TRAF3 deficiency	TRAF3	AD		601896	Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	Herpes simplex virus 1 encephalitis	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
ACT1 deficiency	TRAF3IP2	AR		607043	Normal 	Normal	Normal	Normal	"T cells, fibroblasts"	"CMC, blepharitis, folliculitis and macroglossia"	Table 6 Defects in intrinsic and innate immunity	Subtable 6 Predisposition to Mucocutaneous Candidiasis	279.9	D89.9	HP:0002715	HP:0005401		
"TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)"	TREX1 	AR 		606609	Normal 	Normal	Normal	Normal		"Classical AGS, SLE, FCL"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
"TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)"	TREX1 	AD		606609	Normal 	Normal	Normal	Normal		"Classical AGS, SLE, FCL"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
TRIM22 	TRIM22	AR		606559	Normal 	Normal	Normal	Normal	"Macrophages, intestinal epithelial cells"	Granulomatous colitis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	558.9	K52.3	HP:0002721	HP:0002037		
